_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
45,2025-01-14 00:06:02.987000,22,0,1,PR11 - ul. Ślężna-Kamienna
46,2025-01-14 00:08:32.137000,11,0,1,PR09 - ul. Opolska-Karwińska
47,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
48,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
49,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
50,2025-01-14 01:20:06.407000,41,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
51,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
52,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
53,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
55,2025-01-14 01:20:06.407000,41,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
56,2025-01-14 00:10:36.647000,23,0,1,PR11 - ul. Ślężna-Kamienna
57,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
58,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
59,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
60,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
61,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
62,2025-01-14 01:20:06.407000,41,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
63,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
64,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
65,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
66,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
67,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
68,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
69,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
70,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
71,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
72,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
73,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
74,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
75,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
76,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
77,2025-01-14 03:54:24.863000,21,1,0,PR11 - ul. Ślężna-Kamienna
78,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
79,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
80,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
81,2025-01-14 04:05:49.507000,20,1,0,PR11 - ul. Ślężna-Kamienna
82,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
83,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
84,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
85,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
86,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
87,2025-01-14 00:40:31.120000,23,0,1,PR17 -  ul. Osobowicka
88,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
89,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
90,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
91,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
92,2025-01-14 01:19:34.377000,45,1,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
93,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
94,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
95,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
96,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
97,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
98,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
99,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
100,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
101,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
102,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
103,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
104,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
105,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
106,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
107,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
108,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
109,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
110,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
111,2025-01-14 01:50:31.757000,42,0,0,PR07 - ul. Kosmonautów-Fieldorfa (Szpital)
112,2025-01-14 02:23:17.753000,35,0,0,PR03B - Grabiszyn północ
113,2025-01-14 01:19:34.377000,45,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
114,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
115,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
116,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
117,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
118,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
119,2025-01-14 00:40:31.120000,23,0,0,PR17 -  ul. Osobowicka
120,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
121,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
122,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
123,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
124,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
125,2025-01-14 00:18:33.920000,46,0,0,PR02 - ul. Bystrzycka-Idzikowskiego (Kuźniki)
126,2025-01-14 00:10:36.647000,23,0,0,PR11 - ul. Ślężna-Kamienna
127,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
128,2025-01-14 00:08:32.137000,11,0,0,PR09 - ul. Opolska-Karwińska
